Episode,Reward
51,-2.139427
51,-9.4411
51,-8.913089
51,-7.497675
51,-4.489221
145,-13.075362
51,-4.594311
51,-4.224222
51,-5.450297
51,-5.619467
51,-7.100921
51,-6.691923
51,-6.603086
51,-1.274159
51,-6.064712
51,-4.597648
51,-6.568028
51,-3.98289
51,-0.866957
229,137.143274
83,59.045272
51,-6.575762
51,-7.376903
145,68.774848
51,-6.335029
50,-6.961587
51,-4.294344
51,-6.337345
51,-13.870149
430,284.844213
51,-7.333326
51,-4.40341
51,-5.834611
51,-5.427866
51,-10.080654
51,-8.24979
363,217.903393
51,-3.592162
563,929.867086
51,-5.240109
52,-5.354357
51,-2.747991
51,-2.900617
51,-1.889266
167,86.756028
51,-5.355707
51,-5.014496
51,-9.277565
52,-5.652095
51,-6.441215
52,-2.885159
52,-5.170148
51,-3.664018
51,-7.943047
51,-8.268726
51,-5.056505
51,-3.754646
51,-3.838526
51,-4.525921
51,-6.030238
51,-4.858428
111,42.299412
51,-0.118668
51,-7.958952
51,-6.594572
50,-3.718319
51,-3.818324
51,-2.801384
115,10.050389
51,-3.058365
51,-7.256497
51,-6.127324
83,19.196448
51,-10.395181
51,-2.365021
51,-7.506195
51,-6.019161
837,571.262458
51,-5.51609
51,-7.403203
51,-3.161727
51,-4.94727
51,-9.446869
96,11.165928
51,-2.00339
51,-1.721412
990,1968.686566
51,-7.139257
51,-3.716223
51,-3.291358
51,-5.561247
51,-1.283799
764,522.482018
52,-8.027324
51,-2.063987
51,-3.277084
51,-4.881978
115,2.763971
51,-8.872519
301,179.921289
51,-1.894162
51,-4.771758
51,-3.261106
51,-6.12633
51,-9.311839
51,0.239218
51,-2.086486
51,-3.973013
51,-2.712207
100,13.388288
51,-4.248772
51,-7.206522
51,-4.733027
52,-4.919014
52,-3.931529
51,-0.535783
51,-6.111162
51,-5.125871
51,-6.25611
50,-8.028994
51,-6.499242
127,57.664889
51,-6.955161
51,-9.149266
51,-3.646243
51,-4.083603
51,-7.253651
51,-6.53057
128,-8.549617
51,-2.989875
51,-10.437353
51,-6.56795
53,-0.833555
51,-4.425475
51,-4.27553
51,-0.726927
51,-5.402147
51,-2.063032
411,263.793127
51,-6.444406
303,182.099825
51,-1.942893
53,-5.144407
51,-8.414149
175,88.236874
131,-13.981311
51,-8.200168
51,-6.389114
51,-2.854417
51,-3.255551
347,205.538254
51,-5.54431
52,-1.913257
51,-8.936118
51,-4.72575
51,-7.101875
51,-4.614644
53,-1.355683
51,-4.393188
51,-4.555141
552,378.949751
246,126.307581
51,-5.24323
51,0.284782
125,5.869432
51,-6.561103
51,-7.084776
473,311.311531
51,-4.952199
51,-11.9922
51,-8.73775
53,-3.682461
51,-7.950265
51,-4.503839
51,-8.569615
51,-9.297775
51,-6.955195
51,-3.411823
865,589.815385
51,-6.968365
50,-4.680261
51,-2.817537
51,-4.082505
51,-7.717019
51,-4.070742
51,-4.932074
51,-8.635974
51,-5.383111
51,-5.947599
51,-4.329507
51,-5.059834
51,-0.796772
51,-2.898428
51,-5.777156
51,-11.795082
51,-7.42333
51,-6.590165
363,213.094924
51,-4.219854
51,-11.031339
51,-5.84418
51,-6.069007
51,-2.066705
51,-5.335665
105,25.039892
51,-3.378072
1319,893.78591
742,468.123936
51,-3.57557
680,462.221149
366,230.268863
