#{"t_start": 1764344138.6677475, "env_id": "None"}
r,l,t
-2.139427,51,4.392682
-9.4411,51,7.537616
-8.913089,51,10.984288
-7.497675,51,14.203777
-4.489221,51,16.537107
-13.075362,145,21.151936
-4.594311,51,24.479688
-4.224222,51,27.084003
-5.450297,51,29.705279
-5.619467,51,32.629334
-7.100921,51,34.821636
-6.691923,51,37.399918
-6.603086,51,39.71995
-1.274159,51,42.089223
-6.064712,51,44.583473
-4.597648,51,47.616266
-6.568028,51,49.773078
-3.98289,51,52.124657
-0.866957,51,55.292105
137.143274,229,62.940983
59.045272,83,66.87222
-6.575762,51,69.972506
-7.376903,51,72.597698
68.774848,145,78.265806
-6.335029,51,80.994642
-6.961587,50,83.49005
-4.294344,51,85.875822
-6.337345,51,87.987324
-13.870149,51,91.064588
284.844213,430,104.901829
-7.333326,51,107.256397
-4.40341,51,109.958642
-5.834611,51,112.592286
-5.427866,51,115.162229
-10.080654,51,117.654405
-8.24979,51,119.88316
217.903393,363,133.127486
-3.592162,51,135.687864
929.867086,563,155.440887
-5.240109,51,158.178833
-5.354357,52,161.132692
-2.747991,51,163.555608
-2.900617,51,166.046399
-1.889266,51,168.82293
86.756028,167,176.303856
-5.355707,51,178.621575
-5.014496,51,181.009552
-9.277565,51,183.525726
-5.652095,52,186.754443
-6.441215,51,189.67963
-2.885159,52,192.681368
-5.170148,52,195.584456
-3.664018,51,198.169855
-7.943047,51,200.507223
-8.268726,51,202.565559
-5.056505,51,204.999778
-3.754646,51,207.73641
-3.838526,51,210.581914
-4.525921,51,213.637379
-6.030238,51,216.376554
-4.858428,51,219.513063
42.299412,111,224.253309
-0.118668,51,227.437004
-7.958952,51,230.111746
-6.594572,51,232.979604
-3.718319,50,235.656281
-3.818324,51,238.734087
-2.801384,51,241.621869
10.050389,115,246.484581
-3.058365,51,249.559994
-7.256497,51,252.106277
-6.127324,51,254.712615
19.196448,83,258.604497
-10.395181,51,261.535644
-2.365021,51,264.104987
-7.506195,51,267.610937
-6.019161,51,270.866004
571.262458,837,305.931889
-5.51609,51,308.719004
-7.403203,51,311.315813
-3.161727,51,313.752083
-4.94727,51,316.352071
-9.446869,51,318.942152
11.165928,96,323.215487
-2.00339,51,325.666857
-1.721412,51,328.325712
1968.686566,990,359.683761
-7.139257,51,362.507582
-3.716223,51,364.939034
-3.291358,51,367.682647
-5.561247,51,370.409021
-1.283799,51,372.716457
522.482018,764,397.559616
-8.027324,52,400.42945
-2.063987,51,402.683415
-3.277084,51,405.37135
-4.881978,51,407.943786
2.763971,115,412.311453
-8.872519,51,414.956357
179.921289,301,423.69831
-1.894162,51,425.934551
-4.771758,51,429.000656
-3.261106,51,431.319949
-6.12633,51,434.152118
-9.311839,51,436.875352
0.239218,51,439.533846
-2.086486,51,442.127012
-3.973013,51,445.39725
-2.712207,51,448.30975
13.388288,100,452.842856
-4.248772,51,455.366471
-7.206522,51,458.187181
-4.733027,51,460.609735
-4.919014,52,463.363068
-3.931529,52,466.254629
-0.535783,51,468.709052
-6.111162,51,471.771204
-5.125871,51,474.814668
-6.25611,51,477.394611
-8.028994,50,479.736975
-6.499242,51,483.302908
57.664889,127,489.660912
-6.955161,51,492.247344
-9.149266,51,494.885013
-3.646243,51,497.269395
-4.083603,51,499.64804
-7.253651,51,501.871244
-6.53057,51,504.597119
-8.549617,128,509.427754
-2.989875,51,511.769623
-10.437353,51,514.805627
-6.56795,51,517.613671
-0.833555,53,520.863723
-4.425475,51,524.149066
-4.27553,51,526.912184
-0.726927,51,529.703656
-5.402147,51,532.563836
-2.063032,51,534.838726
263.793127,411,553.213012
-6.444406,51,555.47224
182.099825,303,566.056168
-1.942893,51,569.366118
-5.144407,53,572.414907
-8.414149,51,575.146652
88.236874,175,581.923357
-13.981311,131,587.464082
-8.200168,51,589.774926
-6.389114,51,592.320446
-2.854417,51,594.989797
-3.255551,51,597.769031
205.538254,347,611.528921
-5.54431,51,614.309702
-1.913257,52,616.810878
-8.936118,51,619.40834
-4.72575,51,621.736745
-7.101875,51,624.114781
-4.614644,51,626.503718
-1.355683,53,629.46105
-4.393188,51,632.049279
-4.555141,51,634.519932
378.949751,552,656.34546
126.307581,246,666.968088
-5.24323,51,669.42275
0.284782,51,672.279196
5.869432,125,677.663146
-6.561103,51,680.295136
-7.084776,51,683.042292
311.311531,473,701.194649
-4.952199,51,703.80629
-11.9922,51,705.981133
-8.73775,51,708.447178
